position_id,ticker,strike,expiry,account,position_isOpen,lot_id,lot_isOpen,lot_buyDate,lot_contracts,lot_costBasis,flag
0FR3jbBJSMSu7PDzps79,GNRC,180,2028-01-21,IRA,true,ULqRGbgId77xq2XcSKHu,true,2026-06-10,1,10425.67,OK
0rUKxqMAfGbiwZ2cZgtO,VRT,230,2027-01-15,IRA ROTH,false,U2C0vaj4kAZHXRm9GcM0,false,2026-04-22,1,10750.67,OK
0rUKxqMAfGbiwZ2cZgtO,VRT,230,2027-01-15,IRA ROTH,false,uy8TTUgxAGu4oaJKsjIk,false,2026-04-22,1,10730.67,OK
1UDWxBh6Ig7NW7WqNZru,NFLX,75,2027-01-15,IRA ROTH,false,AOlh2UF62zYT3E8z3ZVA,false,2026-04-21,1,2480.675,OK
1UDWxBh6Ig7NW7WqNZru,NFLX,75,2027-01-15,IRA ROTH,false,TWxUJ0brZK4i6g3p5ICO,false,2026-04-21,1,2480.675,OK
1UDWxBh6Ig7NW7WqNZru,NFLX,75,2027-01-15,IRA ROTH,false,wV2PZUILomZwmSy5td2I,false,2026-04-21,2,4701.35,OK
1Xh4iHO5OpxPi4IhRzxN,FSLY,20,2028-01-21,IRA,true,qosjc7taGhevePnhJXu6,true,2026-05-07,1,1050.02,OK
1dNEouLKoHxfObrq6z7N,BE,150,2027-01-15,IRA ROTH,false,URGW3uT2EjzHxlqU8WAk,false,2026-04-17,1,9375.67,OK
1dVHEqDJPodlVbWLA73w,AVAV,160,2028-01-21,IRA,true,zflAAt90qCoos3idKpkv,true,2026-06-02,1,9700.67,OK
1sFmzWO0BaTcp8SCz7tM,COHR,300,2028-01-21,IRA ROTH,true,I0mrij8EMTiGbWqige3m,true,2026-06-09,1,18010.67,OK
1tNMU9IMt3zDlVrkew2R,PLTR,100,2027-01-15,IRA,false,C6gUBB5lExGOw6w20F4K,false,2026-03-30,1,5075.67,OK
27vzAuYbfKUJNfvI06Vn,FSLY,15,2028-01-21,DI Ind.,true,a7pCS0R2SKUT0u2gWud6,true,2026-05-07,3,3239.02,OK
2Apn4EeyUJ67F5w7H5QS,CRM,140,2028-01-21,IRA,true,fgyfR2gGYS7vGg6A2xQY,true,2026-04-29,1,6735.67,OK
2IIsR5dRCSIuQoTngCau,CBRS,170,2028-01-21,IRA,true,M76OpTaE7RGQB2eK94PP,true,2026-06-11,1,11375.67,OK
2IdcqR7wR9fWCbT0Ff9a,OKTA,60,2028-01-21,IRA,false,Sn2wKJb0bjN4fAL0EvC7,false,2026-04-23,2,6239.35,OK
2KrRxnumSMSEC0zUFmCf,FIG,15,2028-01-21,IRA,false,v5xq6ICBQPiOFtOSs9Rk,false,2026-04-17,5,3828.36,OK
2NHxgpKV4HeCLIF71I9m,CRWV,75,2028-01-21,IRA ROTH,true,JcO7SjvsxEyDfgNJ9q87,true,2026-05-19,1,4995.67,OK
2fKCvWBxzo91ZFCIjP0n,QCOM,130,2028-01-21,IRA ROTH,false,bsdKbjkqBz9LyDdKsqcb,false,2026-05-04,1,5565.02,OK
2hCAdOa94REMgXVYMr0g,RDDT,115,2028-01-21,IRA ROTH,false,kpfCbyYvVs8r64hl4hqw,false,2026-04-28,1,7150.67,OK
2uF1Xi6FpdhIMTnlnHu4,VEEV,155,2028-01-21,IRA,true,E14PIliDtMAeFNmdTFL4,true,2026-06-01,1,6900.67,OK
2xeRZxrGasdueZQR7mHi,PLTR,110,2028-01-21,IRA ROTH,true,1HyPAjnYz2Yj8RsRGSgw,true,2026-04-23,2,12281.35,OK
2xeRZxrGasdueZQR7mHi,PLTR,110,2028-01-21,IRA ROTH,true,7yXk3a1IFGHOh2y6CfLY,true,2026-04-23,1,5950.67,OK
2xeRZxrGasdueZQR7mHi,PLTR,110,2028-01-21,IRA ROTH,true,A3cM52Zp9btxN2RsAxCH,true,2026-04-23,1,6035.67,OK
35BE3XzgRHjLanm4n0GX,SMCI,28,2028-01-21,IRA ROTH,true,aYnMYoZiij8jfephef0j,true,2026-06-10,1,1670.67,OK
38jVWgoSlVahlNNGwqQa,MU,320,2027-01-15,IRA,false,UJR73CbmbENd0djp0UKr,false,2026-04-15,1,17631.67,OK
