CLOSED_ID,BUY_TXN_ID,SELL_TXN_ID,TICKER,INSTRUMENT_TYPE,OPTION_SYMBOL,STRIKE,EXPIRY,ACCOUNT_NAME,ACCOUNT_NUMBER,BUY_DATE,BUY_PRICE,BUY_QUANTITY,BUY_AMOUNT,SELL_DATE,SELL_PRICE,SELL_QUANTITY,SELL_AMOUNT,HOLD_DAYS,RETURN_PCT,RETURN_DOLLAR
U2C0vaj4kAZHXRm9GcM0,,,VRT,CALL,VRT270115C00230000,230,2027-01-15,IRA ROTH,,2026-04-22,107.51,1,10750.67,2026-04-30,123.68,1,12367.72,8,15.04,1617.05
uy8TTUgxAGu4oaJKsjIk,,,VRT,CALL,VRT270115C00230000,230,2027-01-15,IRA ROTH,,2026-04-22,107.31,1,10730.67,2026-04-30,117.00,1,11699.73,8,9.03,969.06
AOlh2UF62zYT3E8z3ZVA,,,NFLX,CALL,NFLX270115C00075000,75,2027-01-15,IRA ROTH,,2026-04-21,24.81,1,2480.68,2026-04-30,24.30,1,2429.92,9,-2.05,-50.76
TWxUJ0brZK4i6g3p5ICO,,,NFLX,CALL,NFLX270115C00075000,75,2027-01-15,IRA ROTH,,2026-04-21,24.81,1,2480.68,2026-04-30,24.60,1,2459.92,9,-0.84,-20.76
wV2PZUILomZwmSy5td2I,,,NFLX,CALL,NFLX270115C00075000,75,2027-01-15,IRA ROTH,,2026-04-21,23.51,2,4701.35,2026-05-01,22.95,2,4589.85,10,-2.37,-111.50
URGW3uT2EjzHxlqU8WAk,,,BE,CALL,BE270115C00150000,150,2027-01-15,IRA ROTH,,2026-04-17,93.76,1,9375.67,2026-04-28,111.31,1,11131.10,11,18.72,1755.43
C6gUBB5lExGOw6w20F4K,,,PLTR,CALL,PLTR270115C00100000,100,2027-01-15,IRA,,2026-03-30,50.76,1,5075.67,2026-04-28,52.36,1,5236.22,29,3.16,160.55
Sn2wKJb0bjN4fAL0EvC7,,,OKTA,CALL,OKTA280121C00060000,60,2028-01-21,IRA,,2026-04-23,31.20,2,6239.35,2026-05-07,35.20,2,7039.60,14,12.83,800.25
v5xq6ICBQPiOFtOSs9Rk,,,FIG,CALL,FIG280121C00015000,15,2028-01-21,IRA,,2026-04-17,7.66,5,3828.36,2026-05-01,7.70,5,3849.81,14,0.56,21.45
bsdKbjkqBz9LyDdKsqcb,,,QCOM,CALL,QCOM280121C00130000,130,2028-01-21,IRA ROTH,,2026-05-04,55.65,1,5565.02,2026-05-07,89.35,1,8935.00,3,60.56,3369.98
kpfCbyYvVs8r64hl4hqw,,,RDDT,CALL,RDDT280121C00115000,115,2028-01-21,IRA ROTH,,2026-04-28,71.51,1,7150.67,2026-06-10,94.65,1,9465.13,43,32.37,2314.46
UJR73CbmbENd0djp0UKr,,,MU,CALL,MU270115C00320000,320,2027-01-15,IRA,,2026-04-15,176.32,1,17631.67,2026-05-01,243.94,1,24394.47,16,38.36,6762.80
yMshcURCux1IGDIAayu4,,,CRWD,CALL,CRWD280121C00500000,500,2028-01-21,IRA ROTH,,2026-05-27,261.76,1,26175.67,2026-06-11,302.76,1,30275.70,15,15.66,4100.03
